record_id,customer_id,customer_name,segment,region,credit_limit,credit_used,credit_utilization,outstanding_balance,overdue_balance,days_overdue,risk_score,risk_category,payment_history,on_time_payments,late_payments,write_off_amount,period,year,month,quarter
CR-0186,C-GOV-02,Government Client 02,Government,South,1447000,888458,0.614,283398,0,0,24.1,Low,Fair,10,1,0.0,May 2025,2025,5,Q2
CR-0187,C-GOV-03,Government Client 03,Government,North,435000,380146,0.8739,187986,0,0,25.1,Medium,Fair,5,4,0.0,May 2025,2025,5,Q2
CR-0188,C-GOV-04,Government Client 04,Government,Central,1121000,586731,0.5234,344605,0,0,12.1,Low,Fair,7,1,0.0,May 2025,2025,5,Q2
CR-0189,C-GOV-05,Government Client 05,Government,East,894000,276961,0.3098,197893,0,0,19.3,Low,Good,9,0,0.0,May 2025,2025,5,Q2
CR-0190,C-GOV-06,Government Client 06,Government,North,653000,493799,0.7562,183985,0,0,23.0,Low,Good,4,0,0.0,May 2025,2025,5,Q2
CR-0191,C-GOV-07,Government Client 07,Government,South,324000,280390,0.8654,207731,0,0,3.7,Low,Good,10,0,0.0,May 2025,2025,5,Q2
CR-0192,C-GOV-08,Government Client 08,Government,East,902000,426015,0.4723,357886,0,0,6.2,Low,Fair,4,0,0.0,May 2025,2025,5,Q2
CR-0177,C-RET-01,Retail Client 01,Retail,Central,60000,45078,0.7513,25940,0,0,18.9,Low,Good,2,0,0.0,May 2025,2025,5,Q2
CR-0178,C-RET-02,Retail Client 02,Retail,North,118000,51967,0.4404,16570,6902,64,81.6,Critical,Poor,3,4,866.98,May 2025,2025,5,Q2
CR-0179,C-RET-03,Retail Client 03,Retail,Central,153000,54208,0.3543,42295,0,0,11.1,Low,Good,1,0,0.0,May 2025,2025,5,Q2
CR-0180,C-RET-04,Retail Client 04,Retail,Central,143000,115501,0.8077,84138,35563,102,62.9,High,Poor,7,1,0.0,May 2025,2025,5,Q2
CR-0181,C-RET-05,Retail Client 05,Retail,Central,72000,36734,0.5102,28845,0,0,7.9,Low,Good,2,0,0.0,May 2025,2025,5,Q2
CR-0182,C-RET-06,Retail Client 06,Retail,Central,103000,77435,0.7518,41688,0,0,24.8,Low,Fair,6,4,0.0,May 2025,2025,5,Q2
CR-0183,C-RET-07,Retail Client 07,Retail,West,147000,59932,0.4077,50091,11735,52,32.5,Medium,Fair,9,4,0.0,May 2025,2025,5,Q2
CR-0184,C-RET-08,Retail Client 08,Retail,North,106000,59858,0.5647,28798,0,0,25.7,Medium,Fair,3,3,0.0,May 2025,2025,5,Q2
CR-0169,C-SMB-01,SMB Client 01,SMB,North,274000,241093,0.8799,84138,0,0,15.9,Low,Good,1,0,0.0,May 2025,2025,5,Q2
CR-0170,C-SMB-02,SMB Client 02,SMB,South,128000,50189,0.3921,33716,7776,75,52.9,High,Fair,6,3,0.0,May 2025,2025,5,Q2
CR-0171,C-SMB-03,SMB Client 03,SMB,North,317000,293827,0.9269,137085,60002,34,80.6,Critical,Poor,9,3,6781.6,May 2025,2025,5,Q2
CR-0172,C-SMB-04,SMB Client 04,SMB,South,101000,81143,0.8034,47804,21216,5,47.0,Medium,Good,2,0,0.0,May 2025,2025,5,Q2
CR-0173,C-SMB-05,SMB Client 05,SMB,North,203000,90234,0.4445,34879,0,0,9.7,Low,Good,3,0,0.0,May 2025,2025,5,Q2
CR-0174,C-SMB-06,SMB Client 06,SMB,West,108000,74812,0.6927,41433,0,0,14.5,Low,Fair,4,1,0.0,May 2025,2025,5,Q2
CR-0175,C-SMB-07,SMB Client 07,SMB,South,201000,156117,0.7767,92314,0,0,14.9,Low,Fair,9,3,0.0,May 2025,2025,5,Q2
CR-0176,C-SMB-08,SMB Client 08,SMB,South,147000,128507,0.8742,94749,13408,74,60.7,High,Poor,10,1,0.0,May 2025,2025,5,Q2
CR-0193,C-STA-01,Startup Client 01,Startup,North,91000,73137,0.8037,35510,6656,81,44.2,Medium,Fair,8,4,0.0,May 2025,2025,5,Q2
CR-0194,C-STA-02,Startup Client 02,Startup,West,67000,42264,0.6308,22098,5881,82,59.3,High,Poor,10,0,0.0,May 2025,2025,5,Q2
CR-0195,C-STA-03,Startup Client 03,Startup,West,120000,81144,0.6762,47232,5196,18,70.0,High,Fair,8,1,687.55,May 2025,2025,5,Q2
CR-0196,C-STA-04,Startup Client 04,Startup,East,132000,113243,0.8579,78152,35978,70,54.2,High,Good,9,0,0.0,May 2025,2025,5,Q2
CR-0197,C-STA-05,Startup Client 05,Startup,North,142000,141063,0.9934,56868,12462,31,55.8,High,Fair,5,4,0.0,May 2025,2025,5,Q2
CR-0198,C-STA-06,Startup Client 06,Startup,North,65000,30258,0.4655,20181,6320,14,36.8,Medium,Fair,8,4,0.0,May 2025,2025,5,Q2
CR-0199,C-STA-07,Startup Client 07,Startup,South,131000,58138,0.4438,31239,10715,53,67.0,High,Good,6,0,0.0,May 2025,2025,5,Q2
CR-0200,C-STA-08,Startup Client 08,Startup,West,88000,37242,0.4232,24309,6543,15,63.7,High,Fair,5,3,0.0,May 2025,2025,5,Q2
CR-0201,C-ENT-01,Enterprise Client 01,Enterprise,South,1448000,551688,0.381,232567,0,0,21.7,Low,Fair,2,4,0.0,Jun 2025,2025,6,Q2
CR-0202,C-ENT-02,Enterprise Client 02,Enterprise,West,1885000,1625058,0.8621,662694,0,0,13.8,Low,Good,5,0,0.0,Jun 2025,2025,6,Q2
CR-0203,C-ENT-03,Enterprise Client 03,Enterprise,Central,665000,506264,0.7613,377172,0,0,26.7,Medium,Good,10,0,0.0,Jun 2025,2025,6,Q2
CR-0204,C-ENT-04,Enterprise Client 04,Enterprise,West,1991000,1768008,0.888,1197264,0,0,12.3,Low,Fair,6,0,0.0,Jun 2025,2025,6,Q2
CR-0205,C-ENT-05,Enterprise Client 05,Enterprise,North,1365000,488670,0.358,399789,0,0,2.6,Low,Good,3,0,0.0,Jun 2025,2025,6,Q2
CR-0206,C-ENT-06,Enterprise Client 06,Enterprise,West,1536000,1301914,0.8476,828376,0,0,7.9,Low,Fair,2,2,0.0,Jun 2025,2025,6,Q2
CR-0207,C-ENT-07,Enterprise Client 07,Enterprise,South,708000,521867,0.7371,211667,0,0,10.6,Low,Good,7,0,0.0,Jun 2025,2025,6,Q2
CR-0208,C-ENT-08,Enterprise Client 08,Enterprise,South,1363000,780181,0.5724,611139,163246,33,30.1,Medium,Good,7,0,0.0,Jun 2025,2025,6,Q2
CR-0225,C-GOV-01,Government Client 01,Government,North,883000,296865,0.3362,166960,0,0,12.5,Low,Good,8,0,0.0,Jun 2025,2025,6,Q2
CR-0226,C-GOV-02,Government Client 02,Government,South,1447000,847653,0.5858,447450,0,0,15.9,Low,Fair,9,3,0.0,Jun 2025,2025,6,Q2
CR-0227,C-GOV-03,Government Client 03,Government,North,435000,368750,0.8477,292215,0,0,26.4,Medium,Fair,2,1,0.0,Jun 2025,2025,6,Q2
CR-0228,C-GOV-04,Government Client 04,Government,Central,1121000,588973,0.5254,356215,0,0,19.0,Low,Fair,10,2,0.0,Jun 2025,2025,6,Q2
CR-0229,C-GOV-05,Government Client 05,Government,East,894000,329350,0.3684,220242,0,0,20.4,Low,Good,8,0,0.0,Jun 2025,2025,6,Q2
CR-0230,C-GOV-06,Government Client 06,Government,North,653000,473360,0.7249,285140,0,0,28.1,Medium,Good,9,0,0.0,Jun 2025,2025,6,Q2
CR-0231,C-GOV-07,Government Client 07,Government,South,324000,279871,0.8638,145968,0,0,3.3,Low,Good,5,0,0.0,Jun 2025,2025,6,Q2
CR-0232,C-GOV-08,Government Client 08,Government,East,902000,482209,0.5346,190830,0,0,6.2,Low,Fair,4,3,0.0,Jun 2025,2025,6,Q2
CR-0217,C-RET-01,Retail Client 01,Retail,Central,60000,50442,0.8407,18742,0,0,15.9,Low,Good,9,0,0.0,Jun 2025,2025,6,Q2
CR-0218,C-RET-02,Retail Client 02,Retail,North,118000,41453,0.3513,19409,522,109,87.9,Critical,Poor,4,4,62.53,Jun 2025,2025,6,Q2
CR-0219,C-RET-03,Retail Client 03,Retail,Central,153000,47920,0.3132,34790,0,0,10.0,Low,Good,1,0,0.0,Jun 2025,2025,6,Q2
CR-0220,C-RET-04,Retail Client 04,Retail,Central,143000,126498,0.8846,41293,20938,71,58.9,High,Poor,9,1,0.0,Jun 2025,2025,6,Q2
CR-0221,C-RET-05,Retail Client 05,Retail,Central,72000,35899,0.4986,27517,0,0,12.9,Low,Good,10,0,0.0,Jun 2025,2025,6,Q2
CR-0222,C-RET-06,Retail Client 06,Retail,Central,103000,73954,0.718,57278,0,0,24.4,Low,Fair,3,0,0.0,Jun 2025,2025,6,Q2
CR-0223,C-RET-07,Retail Client 07,Retail,West,147000,57448,0.3908,32839,8887,66,36.4,Medium,Fair,7,0,0.0,Jun 2025,2025,6,Q2
CR-0224,C-RET-08,Retail Client 08,Retail,North,106000,45686,0.431,25805,7397,42,32.2,Medium,Fair,4,0,0.0,Jun 2025,2025,6,Q2
CR-0209,C-SMB-01,SMB Client 01,SMB,North,274000,247038,0.9016,189090,0,0,12.6,Low,Good,4,0,0.0,Jun 2025,2025,6,Q2
CR-0210,C-SMB-02,SMB Client 02,SMB,South,128000,48755,0.3809,25180,8487,48,59.0,High,Fair,9,2,0.0,Jun 2025,2025,6,Q2
CR-0211,C-SMB-03,SMB Client 03,SMB,North,317000,317000,1.0,210310,85071,75,79.6,Critical,Poor,7,4,4961.59,Jun 2025,2025,6,Q2
CR-0212,C-SMB-04,SMB Client 04,SMB,South,101000,79649,0.7886,61836,7026,39,47.3,Medium,Good,7,0,0.0,Jun 2025,2025,6,Q2
CR-0213,C-SMB-05,SMB Client 05,SMB,North,203000,75354,0.3712,46250,0,0,5.1,Low,Good,1,0,0.0,Jun 2025,2025,6,Q2
CR-0214,C-SMB-06,SMB Client 06,SMB,West,108000,69822,0.6465,35618,0,0,23.5,Low,Fair,3,2,0.0,Jun 2025,2025,6,Q2
CR-0215,C-SMB-07,SMB Client 07,SMB,South,201000,141202,0.7025,49226,0,0,19.1,Low,Fair,7,0,0.0,Jun 2025,2025,6,Q2
CR-0216,C-SMB-08,SMB Client 08,SMB,South,147000,136063,0.9256,87874,6103,13,68.2,High,Poor,5,2,0.0,Jun 2025,2025,6,Q2
CR-0233,C-STA-01,Startup Client 01,Startup,North,91000,62080,0.6822,21979,3745,83,45.6,Medium,Fair,6,4,0.0,Jun 2025,2025,6,Q2
CR-0234,C-STA-02,Startup Client 02,Startup,West,67000,37031,0.5527,28971,10058,19,60.2,High,Poor,8,2,0.0,Jun 2025,2025,6,Q2
CR-0235,C-STA-03,Startup Client 03,Startup,West,120000,78636,0.6553,56678,28270,134,73.2,High,Fair,2,3,1781.55,Jun 2025,2025,6,Q2
CR-0236,C-STA-04,Startup Client 04,Startup,East,132000,106326,0.8055,44924,18114,8,53.6,High,Good,7,0,0.0,Jun 2025,2025,6,Q2
CR-0237,C-STA-05,Startup Client 05,Startup,North,142000,135056,0.9511,75380,3476,70,56.5,High,Fair,8,2,0.0,Jun 2025,2025,6,Q2
CR-0238,C-STA-06,Startup Client 06,Startup,North,65000,27183,0.4182,12185,51,7,37.5,Medium,Fair,7,0,0.0,Jun 2025,2025,6,Q2
CR-0239,C-STA-07,Startup Client 07,Startup,South,131000,53500,0.4084,25736,12114,66,61.2,High,Good,10,0,0.0,Jun 2025,2025,6,Q2
CR-0240,C-STA-08,Startup Client 08,Startup,West,88000,38579,0.4384,14053,2976,101,56.2,High,Fair,2,2,0.0,Jun 2025,2025,6,Q2
CR-0241,C-ENT-01,Enterprise Client 01,Enterprise,South,1448000,585426,0.4043,348938,0,0,21.5,Low,Fair,9,0,0.0,Jul 2025,2025,7,Q3
CR-0242,C-ENT-02,Enterprise Client 02,Enterprise,West,1885000,1541553,0.8178,691995,0,0,18.4,Low,Good,6,0,0.0,Jul 2025,2025,7,Q3
CR-0243,C-ENT-03,Enterprise Client 03,Enterprise,Central,665000,462042,0.6948,331265,0,0,23.0,Low,Good,5,0,0.0,Jul 2025,2025,7,Q3
CR-0244,C-ENT-04,Enterprise Client 04,Enterprise,West,1991000,1795484,0.9018,1075588,0,0,20.4,Low,Fair,9,2,0.0,Jul 2025,2025,7,Q3
CR-0245,C-ENT-05,Enterprise Client 05,Enterprise,North,1365000,399672,0.2928,275337,0,0,8.0,Low,Good,8,0,0.0,Jul 2025,2025,7,Q3
CR-0246,C-ENT-06,Enterprise Client 06,Enterprise,West,1536000,1241242,0.8081,759337,0,0,10.9,Low,Fair,10,1,0.0,Jul 2025,2025,7,Q3
CR-0247,C-ENT-07,Enterprise Client 07,Enterprise,South,708000,496874,0.7018,385271,0,0,12.4,Low,Good,5,0,0.0,Jul 2025,2025,7,Q3
CR-0248,C-ENT-08,Enterprise Client 08,Enterprise,South,1363000,648379,0.4757,390925,110505,41,34.4,Medium,Good,3,0,0.0,Jul 2025,2025,7,Q3
CR-0265,C-GOV-01,Government Client 01,Government,North,883000,341721,0.387,108412,0,0,7.9,Low,Good,4,0,0.0,Jul 2025,2025,7,Q3
CR-0266,C-GOV-02,Government Client 02,Government,South,1447000,861544,0.5954,530365,0,0,24.5,Low,Fair,7,2,0.0,Jul 2025,2025,7,Q3
CR-0267,C-GOV-03,Government Client 03,Government,North,435000,366922,0.8435,156769,0,0,27.6,Medium,Fair,1,0,0.0,Jul 2025,2025,7,Q3
CR-0268,C-GOV-04,Government Client 04,Government,Central,1121000,635607,0.567,278713,0,0,17.9,Low,Fair,3,0,0.0,Jul 2025,2025,7,Q3
CR-0269,C-GOV-05,Government Client 05,Government,East,894000,216884,0.2426,127717,0,0,11.4,Low,Good,7,0,0.0,Jul 2025,2025,7,Q3
CR-0270,C-GOV-06,Government Client 06,Government,North,653000,419487,0.6424,276720,0,0,23.8,Low,Good,10,0,0.0,Jul 2025,2025,7,Q3
CR-0271,C-GOV-07,Government Client 07,Government,South,324000,254988,0.787,203916,0,0,2.2,Low,Good,8,0,0.0,Jul 2025,2025,7,Q3
CR-0272,C-GOV-08,Government Client 08,Government,East,902000,401300,0.4449,201167,0,0,3.8,Low,Fair,4,4,0.0,Jul 2025,2025,7,Q3
CR-0257,C-RET-01,Retail Client 01,Retail,Central,60000,53964,0.8994,16648,0,0,16.8,Low,Good,8,0,0.0,Jul 2025,2025,7,Q3
CR-0258,C-RET-02,Retail Client 02,Retail,North,118000,52062,0.4412,26010,10778,71,85.0,Critical,Poor,2,3,1134.88,Jul 2025,2025,7,Q3
CR-0259,C-RET-03,Retail Client 03,Retail,Central,153000,38357,0.2507,28506,0,0,17.0,Low,Good,8,0,0.0,Jul 2025,2025,7,Q3
CR-0260,C-RET-04,Retail Client 04,Retail,Central,143000,122122,0.854,39061,2221,25,63.3,High,Poor,4,0,0.0,Jul 2025,2025,7,Q3
CR-0261,C-RET-05,Retail Client 05,Retail,Central,72000,34222,0.4753,28180,0,0,12.3,Low,Good,9,0,0.0,Jul 2025,2025,7,Q3
CR-0262,C-RET-06,Retail Client 06,Retail,Central,103000,84584,0.8212,34094,0,0,27.4,Medium,Fair,9,2,0.0,Jul 2025,2025,7,Q3
CR-0263,C-RET-07,Retail Client 07,Retail,West,147000,62651,0.4262,29437,5630,21,34.2,Medium,Fair,7,2,0.0,Jul 2025,2025,7,Q3
CR-0264,C-RET-08,Retail Client 08,Retail,North,106000,54367,0.5129,30237,0,0,25.4,Medium,Fair,3,4,0.0,Jul 2025,2025,7,Q3
CR-0249,C-SMB-01,SMB Client 01,SMB,North,274000,217583,0.7941,156281,0,0,16.5,Low,Good,1,0,0.0,Jul 2025,2025,7,Q3
CR-0250,C-SMB-02,SMB Client 02,SMB,South,128000,55181,0.4311,33429,1436,30,55.7,High,Fair,4,4,0.0,Jul 2025,2025,7,Q3
CR-0251,C-SMB-03,SMB Client 03,SMB,North,317000,288755,0.9109,149269,10485,79,76.3,Critical,Poor,9,0,571.61,Jul 2025,2025,7,Q3
CR-0252,C-SMB-04,SMB Client 04,SMB,South,101000,80558,0.7976,50874,14195,45,41.8,Medium,Good,10,0,0.0,Jul 2025,2025,7,Q3
CR-0253,C-SMB-05,SMB Client 05,SMB,North,203000,68391,0.3369,23963,0,0,4.1,Low,Good,8,0,0.0,Jul 2025,2025,7,Q3
CR-0254,C-SMB-06,SMB Client 06,SMB,West,108000,71842,0.6652,56585,0,0,15.3,Low,Fair,1,2,0.0,Jul 2025,2025,7,Q3
CR-0255,C-SMB-07,SMB Client 07,SMB,South,201000,139896,0.696,100251,0,0,20.7,Low,Fair,10,2,0.0,Jul 2025,2025,7,Q3
CR-0256,C-SMB-08,SMB Client 08,SMB,South,147000,132976,0.9046,88465,49715,36,67.9,High,Poor,4,3,0.0,Jul 2025,2025,7,Q3
CR-0273,C-STA-01,Startup Client 01,Startup,North,91000,67495,0.7417,32786,10358,47,46.5,Medium,Fair,4,2,0.0,Jul 2025,2025,7,Q3
CR-0274,C-STA-02,Startup Client 02,Startup,West,67000,39986,0.5968,18574,2267,111,60.2,High,Poor,8,1,0.0,Jul 2025,2025,7,Q3
CR-0275,C-STA-03,Startup Client 03,Startup,West,120000,87780,0.7315,55387,15174,9,66.6,High,Fair,5,3,0.0,Jul 2025,2025,7,Q3
CR-0276,C-STA-04,Startup Client 04,Startup,East,132000,115724,0.8767,83899,713,66,50.5,High,Good,4,0,0.0,Jul 2025,2025,7,Q3
CR-0277,C-STA-05,Startup Client 05,Startup,North,142000,127331,0.8967,46222,10150,76,59.1,High,Fair,6,3,0.0,Jul 2025,2025,7,Q3
CR-0278,C-STA-06,Startup Client 06,Startup,North,65000,29348,0.4515,24638,584,57,41.4,Medium,Fair,8,4,0.0,Jul 2025,2025,7,Q3
CR-0279,C-STA-07,Startup Client 07,Startup,South,131000,68382,0.522,34857,14637,125,65.3,High,Good,7,0,0.0,Jul 2025,2025,7,Q3
CR-0280,C-STA-08,Startup Client 08,Startup,West,88000,36740,0.4175,30621,14801,91,58.4,High,Fair,3,3,0.0,Jul 2025,2025,7,Q3
CR-0281,C-ENT-01,Enterprise Client 01,Enterprise,South,1448000,603671,0.4169,375997,0,0,24.7,Low,Fair,1,1,0.0,Aug 2025,2025,8,Q3
CR-0282,C-ENT-02,Enterprise Client 02,Enterprise,West,1885000,1712900,0.9087,1340404,0,0,17.4,Low,Good,5,0,0.0,Aug 2025,2025,8,Q3
CR-0283,C-ENT-03,Enterprise Client 03,Enterprise,Central,665000,507728,0.7635,198419,0,0,19.5,Low,Good,7,0,0.0,Aug 2025,2025,8,Q3
CR-0284,C-ENT-04,Enterprise Client 04,Enterprise,West,1991000,1759845,0.8839,1123944,0,0,20.0,Low,Fair,3,1,0.0,Aug 2025,2025,8,Q3
CR-0285,C-ENT-05,Enterprise Client 05,Enterprise,North,1365000,423969,0.3106,228287,0,0,7.2,Low,Good,1,0,0.0,Aug 2025,2025,8,Q3
CR-0286,C-ENT-06,Enterprise Client 06,Enterprise,West,1536000,1220813,0.7948,558933,0,0,15.1,Low,Fair,4,3,0.0,Aug 2025,2025,8,Q3
CR-0287,C-ENT-07,Enterprise Client 07,Enterprise,South,708000,493122,0.6965,260221,0,0,7.8,Low,Good,3,0,0.0,Aug 2025,2025,8,Q3
CR-0288,C-ENT-08,Enterprise Client 08,Enterprise,South,1363000,813984,0.5972,440114,57185,42,34.4,Medium,Good,8,0,0.0,Aug 2025,2025,8,Q3
CR-0305,C-GOV-01,Government Client 01,Government,North,883000,308167,0.349,158649,0,0,13.3,Low,Good,5,0,0.0,Aug 2025,2025,8,Q3
CR-0306,C-GOV-02,Government Client 02,Government,South,1447000,1013045,0.7001,628289,0,0,24.4,Low,Fair,8,3,0.0,Aug 2025,2025,8,Q3
CR-0307,C-GOV-03,Government Client 03,Government,North,435000,398025,0.915,156864,0,0,27.3,Medium,Fair,1,1,0.0,Aug 2025,2025,8,Q3
CR-0308,C-GOV-04,Government Client 04,Government,Central,1121000,650068,0.5799,272862,0,0,15.9,Low,Fair,5,4,0.0,Aug 2025,2025,8,Q3
CR-0309,C-GOV-05,Government Client 05,Government,East,894000,226987,0.2539,130639,0,0,17.3,Low,Good,5,0,0.0,Aug 2025,2025,8,Q3
CR-0310,C-GOV-06,Government Client 06,Government,North,653000,464022,0.7106,347871,0,0,27.7,Medium,Good,4,0,0.0,Aug 2025,2025,8,Q3
CR-0311,C-GOV-07,Government Client 07,Government,South,324000,280973,0.8672,104688,0,0,0,Low,Good,10,0,0.0,Aug 2025,2025,8,Q3
CR-0312,C-GOV-08,Government Client 08,Government,East,902000,401300,0.4449,160351,0,0,7.8,Low,Fair,6,0,0.0,Aug 2025,2025,8,Q3
CR-0297,C-RET-01,Retail Client 01,Retail,Central,60000,48300,0.805,32445,0,0,23.1,Low,Good,3,0,0.0,Aug 2025,2025,8,Q3
CR-0298,C-RET-02,Retail Client 02,Retail,North,118000,47932,0.4062,38276,13280,49,87.9,Critical,Poor,9,3,1387.01,Aug 2025,2025,8,Q3
CR-0299,C-RET-03,Retail Client 03,Retail,Central,153000,55355,0.3618,41656,0,0,12.6,Low,Good,1,0,0.0,Aug 2025,2025,8,Q3
CR-0300,C-RET-04,Retail Client 04,Retail,Central,143000,123709,0.8651,97619,42958,81,60.3,High,Poor,4,0,0.0,Aug 2025,2025,8,Q3
CR-0301,C-RET-05,Retail Client 05,Retail,Central,72000,40190,0.5582,32547,0,0,8.1,Low,Good,10,0,0.0,Aug 2025,2025,8,Q3
CR-0302,C-RET-06,Retail Client 06,Retail,Central,103000,81936,0.7955,56411,0,0,24.4,Low,Fair,7,2,0.0,Aug 2025,2025,8,Q3
CR-0303,C-RET-07,Retail Client 07,Retail,West,147000,57492,0.3911,18790,2458,31,31.5,Medium,Fair,1,4,0.0,Aug 2025,2025,8,Q3
CR-0304,C-RET-08,Retail Client 08,Retail,North,106000,46481,0.4385,26975,5495,52,30.5,Medium,Fair,6,0,0.0,Aug 2025,2025,8,Q3
CR-0289,C-SMB-01,SMB Client 01,SMB,North,274000,250655,0.9148,139793,0,0,12.1,Low,Good,1,0,0.0,Aug 2025,2025,8,Q3
CR-0290,C-SMB-02,SMB Client 02,SMB,South,128000,50829,0.3971,40814,22335,15,59.4,High,Fair,5,1,0.0,Aug 2025,2025,8,Q3
CR-0291,C-SMB-03,SMB Client 03,SMB,North,317000,289960,0.9147,98560,37904,34,84.5,Critical,Poor,10,4,1262.3,Aug 2025,2025,8,Q3
CR-0292,C-SMB-04,SMB Client 04,SMB,South,101000,84820,0.8398,39239,11807,41,38.5,Medium,Good,2,0,0.0,Aug 2025,2025,8,Q3
CR-0293,C-SMB-05,SMB Client 05,SMB,North,203000,79170,0.39,40301,0,0,7.0,Low,Good,7,0,0.0,Aug 2025,2025,8,Q3
CR-0294,C-SMB-06,SMB Client 06,SMB,West,108000,75568,0.6997,41960,0,0,21.2,Low,Fair,4,0,0.0,Aug 2025,2025,8,Q3
CR-0295,C-SMB-07,SMB Client 07,SMB,South,201000,141745,0.7052,52370,0,0,16.6,Low,Fair,3,2,0.0,Aug 2025,2025,8,Q3
CR-0296,C-SMB-08,SMB Client 08,SMB,South,147000,127934,0.8703,80229,23997,120,68.7,High,Poor,10,3,0.0,Aug 2025,2025,8,Q3
CR-0313,C-STA-01,Startup Client 01,Startup,North,91000,68396,0.7516,56485,975,75,47.1,Medium,Fair,2,4,0.0,Aug 2025,2025,8,Q3
CR-0314,C-STA-02,Startup Client 02,Startup,West,67000,40153,0.5993,28189,7631,8,58.4,High,Poor,5,1,0.0,Aug 2025,2025,8,Q3
CR-0315,C-STA-03,Startup Client 03,Startup,West,120000,82548,0.6879,66555,36024,86,70.0,High,Fair,5,3,5389.13,Aug 2025,2025,8,Q3
CR-0316,C-STA-04,Startup Client 04,Startup,East,132000,108689,0.8234,73634,20986,62,56.9,High,Good,6,0,0.0,Aug 2025,2025,8,Q3
CR-0317,C-STA-05,Startup Client 05,Startup,North,142000,133494,0.9401,56696,3956,11,52.8,High,Fair,9,0,0.0,Aug 2025,2025,8,Q3
CR-0318,C-STA-06,Startup Client 06,Startup,North,65000,29842,0.4591,11927,4231,46,43.8,Medium,Fair,8,2,0.0,Aug 2025,2025,8,Q3
CR-0319,C-STA-07,Startup Client 07,Startup,South,131000,68199,0.5206,39900,16631,82,64.4,High,Good,8,0,0.0,Aug 2025,2025,8,Q3
CR-0320,C-STA-08,Startup Client 08,Startup,West,88000,31143,0.3539,17044,8265,93,62.3,High,Fair,10,4,0.0,Aug 2025,2025,8,Q3
CR-0321,C-ENT-01,Enterprise Client 01,Enterprise,South,1448000,512158,0.3537,221166,0,0,24.3,Low,Fair,9,4,0.0,Sep 2025,2025,9,Q3
CR-0322,C-ENT-02,Enterprise Client 02,Enterprise,West,1885000,1711580,0.908,825981,0,0,9.6,Low,Good,10,0,0.0,Sep 2025,2025,9,Q3
CR-0323,C-ENT-03,Enterprise Client 03,Enterprise,Central,665000,516971,0.7774,237245,0,0,26.2,Medium,Good,5,0,0.0,Sep 2025,2025,9,Q3
CR-0324,C-ENT-04,Enterprise Client 04,Enterprise,West,1991000,1728586,0.8682,1160019,0,0,16.3,Low,Fair,2,2,0.0,Sep 2025,2025,9,Q3
CR-0325,C-ENT-05,Enterprise Client 05,Enterprise,North,1365000,397761,0.2914,293559,0,0,4.7,Low,Good,1,0,0.0,Sep 2025,2025,9,Q3
CR-0326,C-ENT-06,Enterprise Client 06,Enterprise,West,1536000,1151078,0.7494,570243,0,0,14.9,Low,Fair,10,0,0.0,Sep 2025,2025,9,Q3
CR-0327,C-ENT-07,Enterprise Client 07,Enterprise,South,708000,488166,0.6895,352337,0,0,12.8,Low,Good,5,0,0.0,Sep 2025,2025,9,Q3
CR-0328,C-ENT-08,Enterprise Client 08,Enterprise,South,1363000,694585,0.5096,488189,140889,45,33.0,Medium,Good,9,0,0.0,Sep 2025,2025,9,Q3
CR-0345,C-GOV-01,Government Client 01,Government,North,883000,316556,0.3585,199123,0,0,12.2,Low,Good,10,0,0.0,Sep 2025,2025,9,Q3
CR-0346,C-GOV-02,Government Client 02,Government,South,1447000,940116,0.6497,496112,0,0,21.5,Low,Fair,8,0,0.0,Sep 2025,2025,9,Q3
CR-0347,C-GOV-03,Government Client 03,Government,North,435000,423386,0.9733,334025,0,0,20.0,Low,Fair,2,1,0.0,Sep 2025,2025,9,Q3
CR-0348,C-GOV-04,Government Client 04,Government,Central,1121000,650292,0.5801,385325,0,0,18.1,Low,Fair,8,0,0.0,Sep 2025,2025,9,Q3
CR-0349,C-GOV-05,Government Client 05,Government,East,894000,323002,0.3613,199349,0,0,15.1,Low,Good,9,0,0.0,Sep 2025,2025,9,Q3
CR-0350,C-GOV-06,Government Client 06,Government,North,653000,410541,0.6287,328096,0,0,23.9,Low,Good,10,0,0.0,Sep 2025,2025,9,Q3
CR-0351,C-GOV-07,Government Client 07,Government,South,324000,267592,0.8259,116901,0,0,0,Low,Good,2,0,0.0,Sep 2025,2025,9,Q3
CR-0352,C-GOV-08,Government Client 08,Government,East,902000,502143,0.5567,378625,0,0,0.8,Low,Fair,5,2,0.0,Sep 2025,2025,9,Q3
CR-0337,C-RET-01,Retail Client 01,Retail,Central,60000,54594,0.9099,34086,0,0,18.0,Low,Good,10,0,0.0,Sep 2025,2025,9,Q3
CR-0338,C-RET-02,Retail Client 02,Retail,North,118000,45973,0.3896,38507,17086,77,88.7,Critical,Poor,7,1,1361.83,Sep 2025,2025,9,Q3
CR-0339,C-RET-03,Retail Client 03,Retail,Central,153000,51240,0.3349,39359,0,0,17.0,Low,Good,2,0,0.0,Sep 2025,2025,9,Q3
CR-0340,C-RET-04,Retail Client 04,Retail,Central,143000,118461,0.8284,85820,45029,116,64.9,High,Poor,5,3,0.0,Sep 2025,2025,9,Q3
