invoice_id,customer_id,customer_name,customer_segment,region,sales_rep,collector,invoice_date,due_date,payment_terms,invoice_amount,paid_amount,outstanding_balance,payment_date,days_outstanding,days_overdue,payment_status,collection_status,payment_method,promise_to_pay_date,last_contact_date
RCV-0133,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2024-12-30,2025-02-28,60,113097.51,113097.51,0.0,2025-04-02,153,93,Paid,90+ DPD,Check,,
RCV-0134,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-02-25,2025-03-27,30,60604.07,60604.07,0.0,2025-03-31,96,66,Paid,61-90 DPD,Credit Card,,
RCV-0135,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-04-06,2025-06-05,60,96760.27,0.0,96760.27,,56,0,Current,Current,ACH,,
RCV-0136,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-01-18,2025-03-19,60,103613.21,103613.21,0.0,2025-03-30,134,74,Paid,61-90 DPD,Wire,,
RCV-0137,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-01-31,2025-03-02,30,11276.48,11276.48,0.0,2025-02-23,121,91,Paid,90+ DPD,ACH,,
RCV-0138,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2024-12-06,2025-03-06,90,113128.37,113128.37,0.0,2025-03-06,177,87,Paid,61-90 DPD,Check,,
RCV-0139,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-02-18,2025-05-19,90,18711.92,18711.92,0.0,2025-06-01,103,13,Paid,1-30 DPD,Check,,
RCV-0140,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-05-22,2025-07-21,60,71882.53,71882.53,0.0,2025-07-18,10,0,Paid,Current,Credit Card,,
RCV-0141,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-02-09,2025-02-24,15,103530.12,103530.12,0.0,2025-03-15,112,97,Paid,90+ DPD,Check,,
RCV-0142,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-01-06,2025-04-06,90,81674.46,81674.46,0.0,2025-04-22,146,56,Paid,31-60 DPD,Check,,
RCV-0143,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-05-24,2025-08-22,90,16629.97,0.0,16629.97,,8,0,Current,Current,ACH,,
RCV-0144,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2024-12-05,2025-02-03,60,52207.8,52207.8,0.0,2025-03-14,178,118,Paid,90+ DPD,Check,,
RCV-0145,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-05-03,2025-06-17,45,106859.49,0.0,106859.49,,29,0,Current,Current,Check,,
RCV-0146,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-03-31,2025-05-15,45,18977.96,0.0,18977.96,,62,17,Overdue,1-30 DPD,Wire,2025-06-23,2025-05-26
RCV-0147,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-04-28,2025-06-12,45,48677.62,48677.62,0.0,2025-05-25,34,0,Paid,Current,Credit Card,,
RCV-0148,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-05-06,2025-08-04,90,41232.99,0.0,41232.99,,26,0,Current,Current,ACH,,
RCV-0149,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-05-13,2025-05-28,15,23790.23,23790.23,0.0,2025-05-17,19,4,Paid,1-30 DPD,Credit Card,,
RCV-0150,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-05-08,2025-06-07,30,105518.55,0.0,105518.55,,24,0,Current,Current,ACH,,
RCV-0151,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-03-14,2025-04-28,45,102921.11,102921.11,0.0,2025-05-30,79,34,Paid,31-60 DPD,Check,,
RCV-0152,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-05-21,2025-06-20,30,30835.93,0.0,30835.93,,11,0,Current,Current,ACH,,
RCV-0153,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-03-31,2025-06-29,90,116549.6,0.0,116549.6,,62,0,Current,Current,Wire,,
RCV-0154,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-05-23,2025-08-21,90,22658.44,0.0,22658.44,,9,0,Current,Current,Wire,,
RCV-0155,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-03-24,2025-04-23,30,81158.17,53779.24,27378.93,2025-05-09,69,39,Partial,31-60 DPD,Wire,,2025-05-31
RCV-0156,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2024-12-08,2025-02-06,60,36400.32,36400.32,0.0,2025-02-13,175,115,Paid,90+ DPD,ACH,,
RCV-0157,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-03-13,2025-05-12,60,117786.46,117786.46,0.0,2025-04-29,80,20,Paid,1-30 DPD,ACH,,
RCV-0158,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-02-13,2025-03-30,45,52455.73,52455.73,0.0,2025-04-19,108,63,Paid,61-90 DPD,Credit Card,,
RCV-0159,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-05-20,2025-08-18,90,73662.67,0.0,73662.67,,12,0,Current,Current,Credit Card,,
RCV-0160,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-01-28,2025-02-12,15,5713.31,5713.31,0.0,2025-03-15,124,109,Paid,90+ DPD,ACH,,
RCV-0161,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-01-14,2025-01-29,15,20604.72,4324.65,16280.07,2025-04-02,138,123,Partial,90+ DPD,Wire,2025-06-16,2025-05-25
RCV-0162,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-02-04,2025-05-05,90,84304.77,84304.77,0.0,2025-04-18,117,27,Paid,1-30 DPD,ACH,,
RCV-0163,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-04-21,2025-05-06,15,41826.15,0.0,41826.15,,41,26,Overdue,1-30 DPD,Check,,2025-05-23
RCV-0164,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-04-24,2025-07-23,90,78714.19,78714.19,0.0,2025-05-22,38,0,Paid,Current,ACH,,
RCV-0165,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2024-12-12,2024-12-27,15,23222.59,23222.59,0.0,2025-03-17,171,156,Paid,90+ DPD,Check,,
RCV-0166,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-05-14,2025-08-12,90,97337.48,97337.48,0.0,2025-05-25,18,0,Paid,Current,ACH,,
RCV-0167,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-04-25,2025-05-10,15,91638.76,91638.76,0.0,2025-05-12,37,22,Paid,1-30 DPD,Wire,,
RCV-0168,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-03-16,2025-04-30,45,101708.59,101708.59,0.0,2025-04-17,77,32,Paid,31-60 DPD,Credit Card,,
RCV-0169,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2024-12-31,2025-03-01,60,89366.25,89366.25,0.0,2025-03-19,152,92,Paid,90+ DPD,ACH,,
RCV-0170,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-01-31,2025-02-15,15,11047.5,11047.5,0.0,2025-03-18,121,106,Paid,90+ DPD,Wire,,
RCV-0171,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2024-12-21,2025-03-21,90,115842.42,0.0,115842.42,,162,72,Overdue,61-90 DPD,Check,2025-06-26,2025-05-18
RCV-0172,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-03-18,2025-05-02,45,51797.08,51797.08,0.0,2025-06-01,75,30,Paid,1-30 DPD,Wire,,
RCV-0173,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-04-30,2025-06-14,45,73940.3,0.0,73940.3,,32,0,Current,Current,Credit Card,,
RCV-0174,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-02-05,2025-03-22,45,97483.25,97483.25,0.0,2025-03-09,116,71,Paid,61-90 DPD,ACH,,
RCV-0175,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-05-19,2025-06-03,15,61864.3,0.0,61864.3,,13,0,Current,Current,Credit Card,,
RCV-0176,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-05-12,2025-05-27,15,36247.14,36247.14,0.0,2025-05-23,20,5,Paid,1-30 DPD,ACH,,
RCV-0177,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-03-21,2025-05-05,45,46129.87,46129.87,0.0,2025-05-30,72,27,Paid,1-30 DPD,ACH,,
RCV-0178,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-04-27,2025-05-12,15,103790.61,103790.61,0.0,2025-05-20,35,20,Paid,1-30 DPD,Check,,
RCV-0179,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-02-22,2025-04-08,45,19652.51,19652.51,0.0,2025-05-02,99,54,Paid,31-60 DPD,ACH,,
RCV-0180,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-03-10,2025-04-24,45,47312.9,47312.9,0.0,2025-06-01,83,38,Paid,31-60 DPD,Check,,
RCV-0181,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-01-06,2025-03-07,60,16604.45,16604.45,0.0,2025-04-13,146,86,Paid,61-90 DPD,ACH,,
RCV-0182,CUST-006,Inversiones Sur,Enterprise,South,Ana Fernandez,Natalia Vega,2025-01-05,2025-01-20,15,99681.77,99681.77,0.0,2025-03-16,147,132,Paid,90+ DPD,Check,,
RCV-0183,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-04-14,2025-04-29,15,75522.64,0.0,75522.64,,48,33,Overdue,31-60 DPD,Credit Card,,2025-05-22
RCV-0184,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-01-30,2025-03-31,60,12326.18,12326.18,0.0,2025-02-17,122,62,Paid,61-90 DPD,Check,,
RCV-0185,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2024-12-11,2025-03-11,90,118947.47,68790.06,50157.41,2024-12-14,172,82,Partial,61-90 DPD,ACH,,2025-05-24
RCV-0186,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2024-12-26,2025-02-09,45,58774.27,58774.27,0.0,2025-03-13,157,112,Paid,90+ DPD,ACH,,
RCV-0187,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-03-18,2025-04-17,30,108056.97,108056.97,0.0,2025-03-26,75,45,Paid,31-60 DPD,Credit Card,,
RCV-0188,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-04-10,2025-05-10,30,50472.59,50472.59,0.0,2025-04-16,52,22,Paid,1-30 DPD,Wire,,
RCV-0189,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-03-08,2025-05-07,60,80999.23,0.0,80999.23,,85,25,Overdue,1-30 DPD,Check,,2025-05-24
RCV-0190,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2024-12-06,2025-02-04,60,40196.51,40196.51,0.0,2025-03-14,177,117,Paid,90+ DPD,Credit Card,,
RCV-0191,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2024-12-27,2025-02-25,60,110707.62,13425.52,97282.1,2025-03-17,156,96,Partial,90+ DPD,Wire,,2025-05-28
RCV-0192,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-01-16,2025-03-17,60,20620.4,20620.4,0.0,2025-02-21,136,76,Paid,61-90 DPD,ACH,,
RCV-0193,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-03-06,2025-05-05,60,34805.64,34805.64,0.0,2025-03-29,87,27,Paid,1-30 DPD,ACH,,
RCV-0194,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-02-15,2025-03-02,15,51122.63,51122.63,0.0,2025-03-11,106,91,Paid,90+ DPD,Credit Card,,
RCV-0195,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-05-27,2025-07-26,60,30345.64,30345.64,0.0,2025-06-11,5,0,Paid,Current,Wire,,
RCV-0196,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-02-09,2025-03-26,45,110210.24,47337.6,62872.64,2025-05-27,112,67,Partial,61-90 DPD,Check,2025-06-28,2025-05-26
RCV-0197,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-01-03,2025-02-02,30,71419.67,71419.67,0.0,2025-02-10,149,119,Paid,90+ DPD,Wire,,
RCV-0198,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-02-17,2025-05-18,90,47022.45,0.0,47022.45,,104,14,Overdue,1-30 DPD,Check,2025-06-06,2025-05-22
RCV-0199,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2024-12-30,2025-01-14,15,39541.8,39541.8,0.0,2025-02-11,153,138,Paid,90+ DPD,ACH,,
RCV-0200,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-03-31,2025-05-30,60,104818.89,104818.89,0.0,2025-05-03,62,2,Paid,1-30 DPD,Check,,
RCV-0201,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-01-04,2025-01-19,15,7389.31,7389.31,0.0,2025-04-21,148,133,Paid,90+ DPD,ACH,,
RCV-0202,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-03-14,2025-05-13,60,8114.76,0.0,8114.76,,79,19,Overdue,1-30 DPD,Wire,2025-06-09,2025-05-26
RCV-0203,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-04-17,2025-06-01,45,37665.05,37665.05,0.0,2025-05-31,45,0,Paid,Current,Wire,,
RCV-0204,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-02-13,2025-03-15,30,45282.84,45282.84,0.0,2025-02-28,108,78,Paid,61-90 DPD,Credit Card,,
RCV-0205,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-05-03,2025-06-02,30,102902.32,102902.32,0.0,2025-05-08,29,0,Paid,Current,Wire,,
RCV-0206,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-01-29,2025-03-15,45,41802.46,41802.46,0.0,2025-04-05,123,78,Paid,61-90 DPD,ACH,,
RCV-0207,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-01-02,2025-04-02,90,108914.24,0.0,108914.24,,150,60,Overdue,31-60 DPD,Wire,2025-06-06,2025-05-21
RCV-0208,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-03-21,2025-04-05,15,63535.17,0.0,63535.17,,72,57,Overdue,31-60 DPD,Wire,2025-06-13,2025-05-26
RCV-0209,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-03-21,2025-04-20,30,62643.5,0.0,62643.5,,72,42,Overdue,31-60 DPD,Wire,2025-06-15,2025-05-30
RCV-0210,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-01-24,2025-03-10,45,106086.42,106086.42,0.0,2025-05-05,128,83,Paid,61-90 DPD,Check,,
RCV-0211,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-01-03,2025-03-04,60,115252.92,115252.92,0.0,2025-01-31,149,89,Paid,61-90 DPD,Check,,
RCV-0212,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-03-04,2025-04-18,45,98674.84,98674.84,0.0,2025-03-19,89,44,Paid,31-60 DPD,ACH,,
RCV-0213,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2024-12-07,2025-01-21,45,13307.02,13307.02,0.0,2025-01-06,176,131,Paid,90+ DPD,Check,,
RCV-0214,CUST-007,StartupHub Inc,SMB,East,Maria Gonzalez,Felipe Morales,2025-01-07,2025-04-07,90,59363.79,59363.79,0.0,2025-04-26,145,55,Paid,31-60 DPD,Credit Card,,
RCV-0215,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-01-16,2025-03-17,60,72758.93,72758.93,0.0,2025-03-20,136,76,Paid,61-90 DPD,Credit Card,,
RCV-0216,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-05-02,2025-07-01,60,88834.66,0.0,88834.66,,30,0,Current,Current,ACH,,
RCV-0217,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-05-01,2025-05-31,30,22603.09,15850.27,6752.82,2025-05-20,31,1,Partial,1-30 DPD,ACH,2025-06-07,2025-05-29
RCV-0218,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-03-19,2025-05-18,60,21997.85,21997.85,0.0,2025-06-01,74,14,Paid,1-30 DPD,Wire,,
RCV-0219,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-05-20,2025-06-04,15,59848.53,0.0,59848.53,,12,0,Current,Current,Check,,
RCV-0220,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-02-03,2025-03-20,45,52140.1,0.0,52140.1,,118,73,Overdue,61-90 DPD,ACH,2025-06-30,2025-05-29
RCV-0221,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2024-12-11,2025-01-10,30,66562.91,19600.4,46962.51,2025-02-03,172,142,Partial,90+ DPD,ACH,2025-06-13,2025-05-23
RCV-0222,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-05-14,2025-08-12,90,7853.63,7853.63,0.0,2025-07-08,18,0,Paid,Current,ACH,,
RCV-0223,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-03-19,2025-05-18,60,49587.83,0.0,49587.83,,74,14,Overdue,1-30 DPD,ACH,,2025-05-21
RCV-0224,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2024-12-29,2025-01-28,30,68368.4,30657.45,37710.95,2025-03-07,154,124,Partial,90+ DPD,ACH,,2025-05-19
RCV-0225,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-02-16,2025-05-17,90,87515.42,87515.42,0.0,2025-03-22,105,15,Paid,1-30 DPD,Credit Card,,
RCV-0226,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-04-09,2025-07-08,90,8123.48,0.0,8123.48,,53,0,Current,Current,Wire,,
RCV-0227,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-05-08,2025-06-07,30,81415.64,0.0,81415.64,,24,0,Current,Current,Credit Card,,
RCV-0228,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2024-12-30,2025-02-28,60,4542.77,4542.77,0.0,2025-01-09,153,93,Paid,90+ DPD,ACH,,
RCV-0229,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-01-05,2025-03-06,60,94538.48,94538.48,0.0,2025-03-24,147,87,Paid,61-90 DPD,Credit Card,,
RCV-0230,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2024-12-27,2025-01-26,30,28352.52,0.0,28352.52,,156,126,Overdue,90+ DPD,Credit Card,2025-06-09,2025-05-28
RCV-0231,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-03-30,2025-06-28,90,79559.02,79559.02,0.0,2025-04-25,63,0,Paid,Current,Wire,,
RCV-0232,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-02-23,2025-03-25,30,2749.46,2749.46,0.0,2025-04-01,98,68,Paid,61-90 DPD,Credit Card,,
RCV-0233,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-03-04,2025-03-19,15,80924.61,80924.61,0.0,2025-03-11,89,74,Paid,61-90 DPD,Check,,
RCV-0234,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-04-26,2025-05-26,30,64319.33,0.0,64319.33,,36,6,Overdue,1-30 DPD,Credit Card,,2025-05-30
RCV-0235,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-02-02,2025-03-19,45,19292.8,4398.24,14894.56,2025-05-11,119,74,Partial,61-90 DPD,Check,,2025-06-01
RCV-0236,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-02-25,2025-04-11,45,106662.19,106662.19,0.0,2025-05-07,96,51,Paid,31-60 DPD,Check,,
RCV-0237,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2024-12-18,2025-01-17,30,43779.17,43779.17,0.0,2025-05-05,165,135,Paid,90+ DPD,Wire,,
RCV-0238,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2024-12-31,2025-01-15,15,88422.78,88422.78,0.0,2025-02-16,152,137,Paid,90+ DPD,Check,,
RCV-0239,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-02-28,2025-03-30,30,78309.3,78309.3,0.0,2025-03-05,93,63,Paid,61-90 DPD,Check,,
RCV-0240,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-05-23,2025-06-07,15,84665.66,0.0,84665.66,,9,0,Current,Current,Wire,,
RCV-0241,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-04-08,2025-05-08,30,34681.24,34681.24,0.0,2025-06-01,54,24,Paid,1-30 DPD,Credit Card,,
RCV-0242,CUST-008,Almacenes Central,Retail,Central,Pedro Alvarez,Felipe Morales,2025-01-10,2025-03-11,60,20641.48,20641.48,0.0,2025-04-08,142,82,Paid,61-90 DPD,Check,,
RCV-0243,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-04-22,2025-05-07,15,25798.0,25798.0,0.0,2025-05-25,40,25,Paid,1-30 DPD,Credit Card,,
RCV-0244,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2024-12-14,2025-02-12,60,34203.8,34203.8,0.0,2025-05-02,169,109,Paid,90+ DPD,Credit Card,,
RCV-0245,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-01-13,2025-03-14,60,113569.93,113569.93,0.0,2025-04-29,139,79,Paid,61-90 DPD,Check,,
RCV-0246,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-01-03,2025-03-04,60,60470.37,60470.37,0.0,2025-02-25,149,89,Paid,61-90 DPD,Credit Card,,
RCV-0247,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-02-21,2025-05-22,90,65958.56,65958.56,0.0,2025-03-12,100,10,Paid,1-30 DPD,Check,,
RCV-0248,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-05-18,2025-07-02,45,78784.34,0.0,78784.34,,14,0,Current,Current,Wire,,
RCV-0249,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-03-20,2025-04-04,15,26326.45,19329.96,6996.49,2025-03-25,73,58,Partial,31-60 DPD,Check,,2025-05-31
RCV-0250,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-04-23,2025-06-07,45,85342.83,0.0,85342.83,,39,0,Current,Current,ACH,,
RCV-0251,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-05-13,2025-05-28,15,47199.51,47199.51,0.0,2025-05-16,19,4,Paid,1-30 DPD,Credit Card,,
RCV-0252,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-05-19,2025-07-18,60,69159.58,0.0,69159.58,,13,0,Current,Current,Wire,,
RCV-0253,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-05-05,2025-08-03,90,101025.16,101025.16,0.0,2025-07-02,27,0,Paid,Current,ACH,,
RCV-0254,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2024-12-17,2025-02-15,60,109962.34,109962.34,0.0,2025-03-02,166,106,Paid,90+ DPD,Check,,
RCV-0255,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2024-12-22,2025-01-06,15,104242.36,57610.13,46632.23,2025-02-13,161,146,Partial,90+ DPD,Credit Card,,2025-05-28
RCV-0256,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-02-22,2025-04-23,60,75132.71,75132.71,0.0,2025-06-01,99,39,Paid,31-60 DPD,Check,,
RCV-0257,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2024-12-30,2025-02-13,45,67724.18,0.0,67724.18,,153,108,Overdue,90+ DPD,ACH,2025-06-29,2025-05-27
RCV-0258,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-03-01,2025-04-15,45,61829.4,61829.4,0.0,2025-05-31,92,47,Paid,31-60 DPD,Credit Card,,
RCV-0259,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-04-16,2025-07-15,90,77891.28,0.0,77891.28,,46,0,Current,Current,Credit Card,,
RCV-0260,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-04-02,2025-05-17,45,105003.31,0.0,105003.31,,60,15,Overdue,1-30 DPD,Wire,2025-06-08,2025-05-24
RCV-0261,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2024-12-30,2025-03-30,90,82024.89,82024.89,0.0,2025-04-01,153,63,Paid,61-90 DPD,Credit Card,,
RCV-0262,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-04-14,2025-04-29,15,82739.87,13404.09,69335.78,2025-04-30,48,33,Partial,31-60 DPD,ACH,,2025-05-23
RCV-0263,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-02-05,2025-02-20,15,76325.89,76325.89,0.0,2025-03-09,116,101,Paid,90+ DPD,ACH,,
RCV-0264,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-03-06,2025-06-04,90,52473.12,0.0,52473.12,,87,0,Current,Current,Credit Card,,
RCV-0265,CUST-009,Constructora Pacifico,Enterprise,East,David Wong,Felipe Morales,2025-04-23,2025-06-22,60,38355.62,0.0,38355.62,,39,0,Current,Current,Check,,
