dispute_id,invoice_id,vendor_id,vendor_name,vendor_category,region,dispute_date,dispute_type,invoice_amount,dispute_amount,priority,assigned_to,status,days_open,resolution_date,resolution_days,resolution_outcome,credit_amount
DIS-0145,INV-1145,VND-006,MegaParts Ltd,Materials,East,2024-07-19,Duplicate Invoice,9727.44,1081.56,Medium,Juan Vargas,Resolved,317,2024-09-13,56,Full Credit,1081.56
DIS-0146,INV-1146,VND-006,MegaParts Ltd,Materials,East,2024-09-11,Contract Terms,15812.66,5889.19,Medium,Juan Vargas,Resolved,263,2024-10-23,42,Full Credit,5889.19
DIS-0147,INV-1147,VND-006,MegaParts Ltd,Materials,East,2024-11-10,Damaged Goods,98522.34,8974.05,Low,Sofia Ruiz,Escalated,203,2024-12-20,40,Full Credit,8974.05
DIS-0148,INV-1148,VND-006,MegaParts Ltd,Materials,East,2025-05-28,Service Quality,52251.61,19489.39,Low,Luis Herrera,Open,4,,,Pending,0.0
DIS-0149,INV-1149,VND-006,MegaParts Ltd,Materials,East,2024-06-23,Price Discrepancy,81589.02,8489.88,High,Valeria Moreno,Open,343,,,Pending,0.0
DIS-0150,INV-1150,VND-006,MegaParts Ltd,Materials,East,2025-04-22,Contract Terms,86900.45,41870.32,Medium,Valeria Moreno,In Progress,40,,,Pending,0.0
DIS-0151,INV-1151,VND-006,MegaParts Ltd,Materials,East,2024-11-05,Service Quality,6981.37,2049.56,High,Juan Vargas,Closed,208,2025-03-05,120,Full Credit,2049.56
DIS-0152,INV-1152,VND-006,MegaParts Ltd,Materials,East,2024-10-20,Service Quality,85226.01,19813.97,Medium,Carlos Mendez,Resolved,224,2024-12-01,42,Payment Adjusted,3737.49
DIS-0153,INV-1153,VND-006,MegaParts Ltd,Materials,East,2025-03-06,Damaged Goods,12256.04,6433.42,Medium,Diego Castillo,Resolved,87,2025-05-30,85,No Action,0.0
DIS-0154,INV-1154,VND-006,MegaParts Ltd,Materials,East,2025-01-31,Damaged Goods,14766.43,3573.12,Low,Carlos Mendez,Resolved,121,2025-05-12,101,Partial Credit,1709.28
DIS-0155,INV-1155,VND-006,MegaParts Ltd,Materials,East,2024-08-16,Service Quality,77188.33,29847.1,Critical,Diego Castillo,Closed,289,2024-11-07,83,Full Credit,29847.1
DIS-0156,INV-1156,VND-006,MegaParts Ltd,Materials,East,2024-10-18,Missing Goods,11487.19,4384.16,Medium,Ana Torres,Resolved,226,2024-10-30,12,Full Credit,4384.16
DIS-0157,INV-1157,VND-006,MegaParts Ltd,Materials,East,2024-10-12,Contract Terms,8572.69,2799.44,Medium,Carlos Mendez,Resolved,232,2024-12-18,67,Full Credit,2799.44
DIS-0158,INV-1158,VND-006,MegaParts Ltd,Materials,East,2024-08-07,Duplicate Invoice,57660.06,37125.2,High,Luis Herrera,Resolved,298,2024-10-09,63,Partial Credit,28758.42
DIS-0159,INV-1159,VND-006,MegaParts Ltd,Materials,East,2024-10-13,Contract Terms,14832.68,10743.98,Medium,Carlos Mendez,Resolved,231,2024-11-07,25,Full Credit,10743.98
DIS-0160,INV-1160,VND-006,MegaParts Ltd,Materials,East,2024-06-03,Damaged Goods,46587.04,17682.87,Medium,Diego Castillo,Resolved,363,2024-07-12,39,Full Credit,17682.87
DIS-0161,INV-1161,VND-006,MegaParts Ltd,Materials,East,2024-12-09,Missing Goods,69495.28,6204.13,Medium,Carlos Mendez,Resolved,174,2025-02-21,74,Payment Adjusted,1325.57
DIS-0162,INV-1162,VND-007,CloudSoft Solutions,IT,Central,2024-12-12,Missing Goods,12742.69,6979.29,Critical,Valeria Moreno,Resolved,171,2025-03-15,93,Pending,0.0
DIS-0163,INV-1163,VND-007,CloudSoft Solutions,IT,Central,2024-12-24,Damaged Goods,58097.6,30943.94,Medium,Carlos Mendez,Resolved,159,2025-02-19,57,Partial Credit,6527.26
DIS-0164,INV-1164,VND-007,CloudSoft Solutions,IT,Central,2024-12-24,Duplicate Invoice,22124.98,4660.51,Critical,Luis Herrera,Resolved,159,2025-01-13,20,Full Credit,4660.51
DIS-0165,INV-1165,VND-007,CloudSoft Solutions,IT,Central,2024-12-31,Contract Terms,85220.7,10725.5,High,Ana Torres,Escalated,152,2025-04-25,115,Payment Adjusted,1634.78
DIS-0166,INV-1166,VND-007,CloudSoft Solutions,IT,Central,2024-11-20,Service Quality,19654.01,3648.46,High,Sofia Ruiz,Escalated,193,2024-11-28,8,Partial Credit,2210.3
DIS-0167,INV-1167,VND-007,CloudSoft Solutions,IT,Central,2025-01-30,Duplicate Invoice,97110.92,49327.16,High,Luis Herrera,Resolved,122,2025-03-13,42,Pending,0.0
DIS-0168,INV-1168,VND-007,CloudSoft Solutions,IT,Central,2024-10-03,Service Quality,90877.56,17767.67,High,Juan Vargas,Resolved,241,2024-11-11,39,Payment Adjusted,5350.96
DIS-0169,INV-1169,VND-007,CloudSoft Solutions,IT,Central,2024-10-29,Damaged Goods,96795.47,64143.3,High,Marta Lopez,In Progress,215,,,Pending,0.0
DIS-0170,INV-1170,VND-007,CloudSoft Solutions,IT,Central,2024-09-27,Service Quality,88041.11,41018.84,Low,Carlos Mendez,Resolved,247,2025-01-05,100,Full Credit,41018.84
DIS-0171,INV-1171,VND-007,CloudSoft Solutions,IT,Central,2024-10-13,Damaged Goods,91004.09,14607.2,Medium,Juan Vargas,Closed,231,2024-10-19,6,Partial Credit,6396.09
DIS-0172,INV-1172,VND-007,CloudSoft Solutions,IT,Central,2024-11-21,Price Discrepancy,27398.92,21806.64,Medium,Diego Castillo,Closed,192,2025-03-11,110,Payment Adjusted,5105.29
DIS-0173,INV-1173,VND-007,CloudSoft Solutions,IT,Central,2025-03-18,Contract Terms,18071.96,4791.95,High,Sofia Ruiz,Escalated,75,2025-05-20,63,Partial Credit,973.49
DIS-0174,INV-1174,VND-007,CloudSoft Solutions,IT,Central,2025-04-21,Contract Terms,6805.37,1440.98,Low,Valeria Moreno,Open,41,,,Pending,0.0
DIS-0175,INV-1175,VND-007,CloudSoft Solutions,IT,Central,2025-01-04,Contract Terms,27575.82,3898.84,Low,Juan Vargas,In Progress,148,,,Pending,0.0
DIS-0176,INV-1176,VND-007,CloudSoft Solutions,IT,Central,2024-09-18,Damaged Goods,61690.21,3844.94,Medium,Sofia Ruiz,Resolved,256,2024-09-21,3,Partial Credit,1323.96
DIS-0177,INV-1177,VND-007,CloudSoft Solutions,IT,Central,2024-10-30,Missing Goods,22794.82,12563.62,Medium,Carlos Mendez,Closed,214,2025-01-10,72,Partial Credit,9962.94
DIS-0178,INV-1178,VND-007,CloudSoft Solutions,IT,Central,2024-08-21,Duplicate Invoice,6931.76,4886.88,Low,Diego Castillo,Resolved,284,2024-08-26,5,Full Credit,4886.88
DIS-0179,INV-1179,VND-007,CloudSoft Solutions,IT,Central,2025-04-27,Service Quality,37756.24,22642.63,Medium,Diego Castillo,Open,35,,,Pending,0.0
DIS-0180,INV-1180,VND-007,CloudSoft Solutions,IT,Central,2024-12-02,Contract Terms,56871.31,37542.55,Low,Juan Vargas,Closed,181,2025-02-04,64,Partial Credit,25787.93
DIS-0181,INV-1181,VND-007,CloudSoft Solutions,IT,Central,2025-04-29,Damaged Goods,73024.28,55330.78,Low,Ana Torres,Escalated,33,2025-05-30,31,Full Credit,55330.78
DIS-0182,INV-1182,VND-007,CloudSoft Solutions,IT,Central,2024-12-24,Missing Goods,53961.44,42728.94,Medium,Ana Torres,Escalated,159,2025-01-20,27,Full Credit,42728.94
DIS-0183,INV-1183,VND-007,CloudSoft Solutions,IT,Central,2025-05-07,Missing Goods,87250.84,26083.07,Low,Valeria Moreno,Escalated,25,2025-05-24,17,No Action,0.0
DIS-0184,INV-1184,VND-007,CloudSoft Solutions,IT,Central,2024-11-15,Missing Goods,37208.48,7073.81,High,Marta Lopez,Closed,198,2025-02-19,96,Partial Credit,3242.38
DIS-0185,INV-1185,VND-007,CloudSoft Solutions,IT,Central,2025-02-28,Contract Terms,56820.07,16529.45,Low,Marta Lopez,Resolved,93,2025-05-19,80,Payment Adjusted,2754.76
DIS-0186,INV-1186,VND-008,Rapi Cargo SA,Logistics,West,2024-10-15,Duplicate Invoice,9023.74,6339.43,Medium,Marta Lopez,Resolved,229,2025-01-27,104,Pending,0.0
DIS-0187,INV-1187,VND-008,Rapi Cargo SA,Logistics,West,2025-04-23,Contract Terms,68762.47,24387.14,Medium,Sofia Ruiz,Closed,39,2025-05-05,12,No Action,0.0
DIS-0188,INV-1188,VND-008,Rapi Cargo SA,Logistics,West,2024-06-18,Contract Terms,79224.64,6028.93,Low,Diego Castillo,Resolved,348,2024-09-01,75,Full Credit,6028.93
DIS-0189,INV-1189,VND-008,Rapi Cargo SA,Logistics,West,2025-03-14,Price Discrepancy,69510.9,52940.73,Medium,Sofia Ruiz,Resolved,79,2025-05-06,53,Full Credit,52940.73
DIS-0190,INV-1190,VND-008,Rapi Cargo SA,Logistics,West,2025-01-09,Duplicate Invoice,28713.11,3878.75,High,Valeria Moreno,Closed,143,2025-01-27,18,Full Credit,3878.75
DIS-0191,INV-1191,VND-008,Rapi Cargo SA,Logistics,West,2025-01-18,Contract Terms,71883.59,15162.25,Medium,Juan Vargas,Resolved,134,2025-02-07,20,No Action,0.0
DIS-0192,INV-1192,VND-008,Rapi Cargo SA,Logistics,West,2024-10-12,Contract Terms,21402.35,12520.96,Critical,Diego Castillo,Escalated,232,2025-01-13,93,Full Credit,12520.96
DIS-0193,INV-1193,VND-008,Rapi Cargo SA,Logistics,West,2024-08-27,Contract Terms,32584.42,8959.66,Low,Sofia Ruiz,Escalated,278,2024-11-03,68,Full Credit,8959.66
DIS-0194,INV-1194,VND-008,Rapi Cargo SA,Logistics,West,2025-02-18,Missing Goods,80246.24,18260.2,Medium,Diego Castillo,Resolved,103,2025-05-02,73,Full Credit,18260.2
DIS-0195,INV-1195,VND-008,Rapi Cargo SA,Logistics,West,2025-04-17,Duplicate Invoice,11246.07,3920.6,High,Valeria Moreno,Escalated,45,2025-05-26,39,Full Credit,3920.6
DIS-0196,INV-1196,VND-008,Rapi Cargo SA,Logistics,West,2024-12-20,Missing Goods,66022.17,25582.33,High,Sofia Ruiz,Closed,163,2025-04-01,102,Partial Credit,14138.63
DIS-0197,INV-1197,VND-008,Rapi Cargo SA,Logistics,West,2025-03-26,Price Discrepancy,46098.74,33791.95,Low,Sofia Ruiz,Resolved,67,2025-04-18,23,Full Credit,33791.95
DIS-0198,INV-1198,VND-008,Rapi Cargo SA,Logistics,West,2024-06-02,Missing Goods,26419.68,20095.13,Medium,Carlos Mendez,Resolved,364,2024-08-25,84,Pending,0.0
DIS-0199,INV-1199,VND-008,Rapi Cargo SA,Logistics,West,2025-01-11,Service Quality,16891.18,4680.86,Medium,Sofia Ruiz,Resolved,141,2025-03-29,77,Full Credit,4680.86
DIS-0200,INV-1200,VND-008,Rapi Cargo SA,Logistics,West,2024-06-28,Service Quality,64325.52,46732.53,Medium,Ana Torres,Closed,338,2024-07-04,6,Full Credit,46732.53
DIS-0201,INV-1201,VND-008,Rapi Cargo SA,Logistics,West,2024-07-07,Service Quality,78247.13,19443.78,Low,Valeria Moreno,Resolved,329,2024-07-13,6,Partial Credit,11205.42
DIS-0202,INV-1202,VND-008,Rapi Cargo SA,Logistics,West,2025-01-03,Contract Terms,65981.19,18248.46,Low,Valeria Moreno,Resolved,149,2025-01-15,12,Payment Adjusted,2978.74
DIS-0203,INV-1203,VND-008,Rapi Cargo SA,Logistics,West,2024-10-31,Missing Goods,51003.86,10354.66,Medium,Diego Castillo,Escalated,213,2025-02-21,113,Full Credit,10354.66
DIS-0204,INV-1204,VND-008,Rapi Cargo SA,Logistics,West,2024-11-08,Missing Goods,17422.78,5713.02,Medium,Luis Herrera,Resolved,205,2024-12-15,37,Partial Credit,1625.51
DIS-0205,INV-1205,VND-008,Rapi Cargo SA,Logistics,West,2025-05-06,Damaged Goods,32570.14,11012.37,Medium,Sofia Ruiz,Escalated,26,2025-05-27,21,Payment Adjusted,1937.45
DIS-0206,INV-1206,VND-008,Rapi Cargo SA,Logistics,West,2025-03-11,Missing Goods,52335.23,22820.44,Medium,Juan Vargas,Open,82,,,Pending,0.0
DIS-0207,INV-1207,VND-008,Rapi Cargo SA,Logistics,West,2024-11-11,Missing Goods,53017.22,41089.14,Low,Ana Torres,In Progress,202,,,Pending,0.0
DIS-0208,INV-1208,VND-008,Rapi Cargo SA,Logistics,West,2024-09-20,Missing Goods,61764.28,42131.72,High,Ana Torres,Closed,254,2024-11-17,58,Full Credit,42131.72
DIS-0209,INV-1209,VND-008,Rapi Cargo SA,Logistics,West,2025-01-16,Duplicate Invoice,74113.27,46164.61,Medium,Ana Torres,Resolved,136,2025-02-12,27,Full Credit,46164.61
DIS-0210,INV-1210,VND-008,Rapi Cargo SA,Logistics,West,2025-01-04,Missing Goods,11985.52,5132.1,High,Carlos Mendez,Resolved,148,2025-01-19,15,Full Credit,5132.1
DIS-0211,INV-1211,VND-008,Rapi Cargo SA,Logistics,West,2024-12-09,Service Quality,57994.02,18801.94,Low,Valeria Moreno,Resolved,174,2024-12-17,8,Full Credit,18801.94
DIS-0212,INV-1212,VND-008,Rapi Cargo SA,Logistics,West,2024-12-12,Service Quality,81376.76,35765.05,Low,Sofia Ruiz,Resolved,171,2025-03-03,81,Full Credit,35765.05
DIS-0213,INV-1213,VND-008,Rapi Cargo SA,Logistics,West,2024-11-11,Missing Goods,99108.5,59910.05,Medium,Juan Vargas,Escalated,202,2024-12-22,41,Partial Credit,12580.04
DIS-0214,INV-1214,VND-008,Rapi Cargo SA,Logistics,West,2024-12-13,Contract Terms,69011.61,54168.84,Medium,Ana Torres,Resolved,170,2025-01-18,36,Pending,0.0
DIS-0215,INV-1215,VND-008,Rapi Cargo SA,Logistics,West,2024-08-08,Damaged Goods,59875.27,35389.28,Medium,Valeria Moreno,Resolved,297,2024-11-06,90,Full Credit,35389.28
DIS-0216,INV-1216,VND-008,Rapi Cargo SA,Logistics,West,2024-08-11,Missing Goods,95079.49,12590.58,Low,Valeria Moreno,Resolved,294,2024-11-10,91,Full Credit,12590.58
DIS-0217,INV-1217,VND-009,Consulting Masters,Services,Central,2025-04-30,Contract Terms,72048.65,31630.25,Medium,Juan Vargas,Resolved,32,2025-05-13,13,Pending,0.0
DIS-0218,INV-1218,VND-009,Consulting Masters,Services,Central,2024-10-08,Contract Terms,91651.8,28113.76,Medium,Marta Lopez,Resolved,236,2024-11-04,27,Pending,0.0
DIS-0219,INV-1219,VND-009,Consulting Masters,Services,Central,2025-01-09,Missing Goods,58018.23,12685.7,Critical,Marta Lopez,Escalated,143,2025-04-10,91,Payment Adjusted,2877.32
DIS-0220,INV-1220,VND-009,Consulting Masters,Services,Central,2024-12-04,Missing Goods,58246.32,43735.07,High,Carlos Mendez,Resolved,179,2025-02-14,72,Full Credit,43735.07
DIS-0221,INV-1221,VND-009,Consulting Masters,Services,Central,2024-11-10,Missing Goods,82745.86,63379.74,High,Ana Torres,Resolved,203,2025-02-12,94,Full Credit,63379.74
DIS-0222,INV-1222,VND-009,Consulting Masters,Services,Central,2024-10-17,Service Quality,67317.34,41097.5,Low,Marta Lopez,Closed,227,2025-01-17,92,Full Credit,41097.5
DIS-0223,INV-1223,VND-009,Consulting Masters,Services,Central,2025-04-06,Contract Terms,63489.32,31117.57,Low,Luis Herrera,Resolved,56,2025-04-12,6,Full Credit,31117.57
DIS-0224,INV-1224,VND-009,Consulting Masters,Services,Central,2024-12-13,Price Discrepancy,73149.02,9173.52,High,Sofia Ruiz,Resolved,170,2025-04-07,115,No Action,0.0
DIS-0225,INV-1225,VND-009,Consulting Masters,Services,Central,2024-09-29,Missing Goods,66801.18,41211.87,Medium,Ana Torres,Closed,245,2024-10-13,14,Payment Adjusted,7949.28
DIS-0226,INV-1226,VND-009,Consulting Masters,Services,Central,2025-05-12,Damaged Goods,91756.82,16635.38,High,Ana Torres,Closed,20,2025-05-27,15,Payment Adjusted,2903.28
DIS-0227,INV-1227,VND-009,Consulting Masters,Services,Central,2025-01-03,Price Discrepancy,88290.6,5028.18,Medium,Diego Castillo,Resolved,149,2025-03-29,85,Partial Credit,2495.72
DIS-0228,INV-1228,VND-009,Consulting Masters,Services,Central,2025-03-24,Price Discrepancy,85850.68,34427.46,Low,Diego Castillo,In Progress,69,,,Pending,0.0
DIS-0229,INV-1229,VND-009,Consulting Masters,Services,Central,2024-10-09,Missing Goods,66587.11,39216.39,Low,Marta Lopez,Resolved,235,2025-01-16,99,Full Credit,39216.39
DIS-0230,INV-1230,VND-009,Consulting Masters,Services,Central,2024-07-23,Service Quality,86333.92,62400.61,High,Diego Castillo,In Progress,313,,,Pending,0.0
DIS-0231,INV-1231,VND-009,Consulting Masters,Services,Central,2024-06-23,Damaged Goods,14061.59,11056.12,Medium,Ana Torres,Resolved,343,2024-07-26,33,Partial Credit,3982.38
DIS-0232,INV-1232,VND-009,Consulting Masters,Services,Central,2024-12-14,Contract Terms,33684.85,19946.88,Low,Diego Castillo,Escalated,169,2024-12-24,10,Payment Adjusted,5707.96
DIS-0233,INV-1233,VND-009,Consulting Masters,Services,Central,2025-03-11,Contract Terms,43514.58,18575.95,High,Marta Lopez,Resolved,82,2025-04-20,40,Full Credit,18575.95
DIS-0234,INV-1234,VND-009,Consulting Masters,Services,Central,2025-02-07,Contract Terms,25817.22,3877.14,Low,Diego Castillo,Resolved,114,2025-04-21,73,No Action,0.0
DIS-0235,INV-1235,VND-009,Consulting Masters,Services,Central,2024-08-29,Contract Terms,81189.52,54332.24,High,Carlos Mendez,Resolved,276,2024-11-07,70,Payment Adjusted,7130.62
DIS-0236,INV-1236,VND-009,Consulting Masters,Services,Central,2024-08-16,Damaged Goods,15659.84,10516.84,Critical,Sofia Ruiz,Resolved,289,2024-12-06,112,Partial Credit,2836.85
DIS-0237,INV-1237,VND-009,Consulting Masters,Services,Central,2025-02-15,Duplicate Invoice,73107.21,30458.0,High,Ana Torres,Resolved,106,2025-04-24,68,Partial Credit,16396.96
DIS-0238,INV-1238,VND-009,Consulting Masters,Services,Central,2024-08-18,Duplicate Invoice,48925.94,32055.62,High,Marta Lopez,Closed,287,2024-11-24,98,Full Credit,32055.62
DIS-0239,INV-1239,VND-009,Consulting Masters,Services,Central,2025-04-24,Price Discrepancy,9302.53,2868.87,Low,Carlos Mendez,Closed,38,2025-05-27,33,Full Credit,2868.87
DIS-0240,INV-1240,VND-009,Consulting Masters,Services,Central,2024-11-03,Contract Terms,22098.23,3349.47,Medium,Valeria Moreno,Resolved,210,2025-02-28,117,Full Credit,3349.47
DIS-0241,INV-1241,VND-009,Consulting Masters,Services,Central,2024-11-19,Service Quality,40686.33,22867.66,High,Sofia Ruiz,Escalated,194,2025-01-05,47,Full Credit,22867.66
DIS-0242,INV-1242,VND-009,Consulting Masters,Services,Central,2024-08-29,Price Discrepancy,42340.57,6160.99,Critical,Ana Torres,Closed,276,2024-10-30,62,Payment Adjusted,1957.83
DIS-0243,INV-1243,VND-009,Consulting Masters,Services,Central,2024-09-01,Damaged Goods,41031.26,9119.12,Medium,Marta Lopez,Resolved,273,2024-12-25,115,Payment Adjusted,1323.53
DIS-0244,INV-1244,VND-009,Consulting Masters,Services,Central,2024-06-27,Price Discrepancy,44827.86,27996.8,High,Luis Herrera,Resolved,339,2024-07-12,15,Partial Credit,13098.71
DIS-0245,INV-1245,VND-009,Consulting Masters,Services,Central,2024-06-21,Duplicate Invoice,71812.2,6212.28,High,Juan Vargas,Resolved,345,2024-07-21,30,Payment Adjusted,2549.68
DIS-0246,INV-1246,VND-009,Consulting Masters,Services,Central,2025-03-21,Contract Terms,52870.11,14113.55,High,Diego Castillo,Resolved,72,2025-05-04,44,Full Credit,14113.55
DIS-0247,INV-1247,VND-009,Consulting Masters,Services,Central,2025-03-19,Missing Goods,98641.08,43494.63,Medium,Ana Torres,Resolved,74,2025-04-13,25,Partial Credit,19847.48
DIS-0248,INV-1248,VND-009,Consulting Masters,Services,Central,2024-09-20,Duplicate Invoice,9453.99,2914.77,Medium,Diego Castillo,Escalated,254,2024-11-14,55,Full Credit,2914.77
DIS-0249,INV-1249,VND-009,Consulting Masters,Services,Central,2024-11-20,Damaged Goods,22468.5,10188.26,Low,Marta Lopez,Closed,193,2024-12-11,21,No Action,0.0
DIS-0250,INV-1250,VND-009,Consulting Masters,Services,Central,2025-05-02,Damaged Goods,58426.67,45329.73,Medium,Valeria Moreno,Open,30,,,Pending,0.0
DIS-0251,INV-1251,VND-009,Consulting Masters,Services,Central,2025-02-16,Missing Goods,36374.98,3975.89,Medium,Carlos Mendez,Resolved,105,2025-03-15,27,Full Credit,3975.89
DIS-0252,INV-1252,VND-010,AquaServ,Utilities,West,2025-04-24,Service Quality,22875.51,14211.92,High,Luis Herrera,Resolved,38,2025-05-18,24,Full Credit,14211.92
DIS-0253,INV-1253,VND-010,AquaServ,Utilities,West,2025-05-24,Contract Terms,25121.74,4836.38,High,Juan Vargas,In Progress,8,,,Pending,0.0
DIS-0254,INV-1254,VND-010,AquaServ,Utilities,West,2024-06-09,Service Quality,62418.15,12694.91,Critical,Diego Castillo,Escalated,357,2024-07-30,51,Partial Credit,7480.26
DIS-0255,INV-1255,VND-010,AquaServ,Utilities,West,2024-12-25,Price Discrepancy,29848.35,12972.46,Medium,Juan Vargas,Escalated,158,2025-02-06,43,No Action,0.0
DIS-0256,INV-1256,VND-010,AquaServ,Utilities,West,2024-11-23,Contract Terms,34727.59,2927.07,High,Sofia Ruiz,Open,190,,,Pending,0.0
DIS-0257,INV-1257,VND-010,AquaServ,Utilities,West,2024-08-21,Damaged Goods,93802.03,45433.69,Medium,Luis Herrera,Resolved,284,2024-10-11,51,Partial Credit,15785.39
DIS-0258,INV-1258,VND-010,AquaServ,Utilities,West,2024-08-23,Duplicate Invoice,67187.76,37869.37,Medium,Juan Vargas,Resolved,282,2024-11-27,96,Payment Adjusted,6350.93
DIS-0259,INV-1259,VND-010,AquaServ,Utilities,West,2024-08-25,Contract Terms,51390.05,37909.13,Medium,Ana Torres,Resolved,280,2024-12-13,110,No Action,0.0
DIS-0260,INV-1260,VND-010,AquaServ,Utilities,West,2024-06-23,Contract Terms,9608.87,526.45,Low,Luis Herrera,In Progress,343,,,Pending,0.0
DIS-0261,INV-1261,VND-010,AquaServ,Utilities,West,2025-03-15,Service Quality,5868.44,2519.32,Medium,Juan Vargas,Resolved,78,2025-03-20,5,Full Credit,2519.32
DIS-0262,INV-1262,VND-010,AquaServ,Utilities,West,2024-08-22,Service Quality,44077.16,2756.79,High,Marta Lopez,Open,283,,,Pending,0.0
DIS-0263,INV-1263,VND-010,AquaServ,Utilities,West,2024-06-08,Price Discrepancy,69033.13,45190.87,Critical,Carlos Mendez,Resolved,358,2024-07-11,33,Full Credit,45190.87
DIS-0264,INV-1264,VND-010,AquaServ,Utilities,West,2024-09-04,Price Discrepancy,28979.73,9152.69,High,Diego Castillo,Closed,270,2024-11-04,61,Partial Credit,7268.52
DIS-0265,INV-1265,VND-010,AquaServ,Utilities,West,2025-02-05,Contract Terms,33497.59,22478.44,Low,Ana Torres,In Progress,116,,,Pending,0.0
DIS-0266,INV-1266,VND-010,AquaServ,Utilities,West,2024-11-18,Contract Terms,40831.11,16618.42,Medium,Sofia Ruiz,In Progress,195,,,Pending,0.0
DIS-0267,INV-1267,VND-010,AquaServ,Utilities,West,2024-10-21,Price Discrepancy,66266.19,19777.34,Critical,Ana Torres,Resolved,223,2025-02-16,118,No Action,0.0
DIS-0268,INV-1268,VND-010,AquaServ,Utilities,West,2024-08-14,Missing Goods,50172.53,4260.73,Low,Ana Torres,Resolved,291,2024-12-03,111,Full Credit,4260.73
DIS-0269,INV-1269,VND-010,AquaServ,Utilities,West,2025-02-14,Duplicate Invoice,60768.43,37323.41,High,Carlos Mendez,Resolved,107,2025-04-30,75,Full Credit,37323.41
DIS-0270,INV-1270,VND-010,AquaServ,Utilities,West,2024-11-13,Contract Terms,69318.32,31569.08,Medium,Sofia Ruiz,Escalated,200,2025-02-12,91,Payment Adjusted,9480.74
DIS-0271,INV-1271,VND-010,AquaServ,Utilities,West,2024-12-05,Missing Goods,10101.16,3816.38,High,Valeria Moreno,Closed,178,2025-01-18,44,Full Credit,3816.38
DIS-0272,INV-1272,VND-010,AquaServ,Utilities,West,2025-01-12,Service Quality,79437.07,30814.64,Low,Valeria Moreno,Resolved,140,2025-04-12,90,Partial Credit,13190.01
DIS-0273,INV-1273,VND-011,SteelBuild Co,Materials,Central,2025-01-25,Contract Terms,72745.31,8113.18,Low,Sofia Ruiz,Escalated,127,2025-03-09,43,Full Credit,8113.18
DIS-0274,INV-1274,VND-011,SteelBuild Co,Materials,Central,2025-04-15,Missing Goods,5493.55,1544.79,Medium,Carlos Mendez,Open,47,,,Pending,0.0
DIS-0275,INV-1275,VND-011,SteelBuild Co,Materials,Central,2025-02-25,Price Discrepancy,45943.05,21489.35,Medium,Ana Torres,In Progress,96,,,Pending,0.0
DIS-0276,INV-1276,VND-011,SteelBuild Co,Materials,Central,2024-08-21,Duplicate Invoice,13841.1,6900.24,Medium,Ana Torres,Resolved,284,2024-10-12,52,Payment Adjusted,2690.66
DIS-0277,INV-1277,VND-011,SteelBuild Co,Materials,Central,2024-08-18,Damaged Goods,90994.72,71306.17,Medium,Valeria Moreno,Resolved,287,2024-09-24,37,Full Credit,71306.17
DIS-0278,INV-1278,VND-011,SteelBuild Co,Materials,Central,2024-09-21,Missing Goods,18863.81,3308.82,Medium,Juan Vargas,Escalated,253,2024-11-09,49,Full Credit,3308.82
DIS-0279,INV-1279,VND-011,SteelBuild Co,Materials,Central,2025-01-25,Duplicate Invoice,73485.45,30999.97,Medium,Carlos Mendez,Resolved,127,2025-01-28,3,Pending,0.0
DIS-0280,INV-1280,VND-011,SteelBuild Co,Materials,Central,2024-12-12,Duplicate Invoice,84953.27,28452.33,High,Diego Castillo,Resolved,171,2025-03-30,108,No Action,0.0
DIS-0281,INV-1281,VND-011,SteelBuild Co,Materials,Central,2024-07-31,Damaged Goods,17931.82,5209.17,Critical,Juan Vargas,Resolved,305,2024-09-22,53,Pending,0.0
DIS-0282,INV-1282,VND-011,SteelBuild Co,Materials,Central,2025-01-02,Damaged Goods,74813.06,39252.68,Critical,Diego Castillo,Resolved,150,2025-04-19,107,Payment Adjusted,9656.4
DIS-0283,INV-1283,VND-011,SteelBuild Co,Materials,Central,2024-08-16,Service Quality,23981.0,19135.61,Low,Ana Torres,Closed,289,2024-10-17,62,Pending,0.0
DIS-0284,INV-1284,VND-011,SteelBuild Co,Materials,Central,2025-02-13,Duplicate Invoice,46653.22,12526.32,High,Juan Vargas,Resolved,108,2025-03-26,41,Full Credit,12526.32
DIS-0285,INV-1285,VND-011,SteelBuild Co,Materials,Central,2024-06-28,Duplicate Invoice,19643.61,7216.0,Medium,Juan Vargas,Resolved,338,2024-09-07,71,Partial Credit,5428.13
DIS-0286,INV-1286,VND-011,SteelBuild Co,Materials,Central,2024-06-11,Contract Terms,44738.57,3470.54,Critical,Carlos Mendez,Resolved,355,2024-07-15,34,Payment Adjusted,839.88
DIS-0287,INV-1287,VND-011,SteelBuild Co,Materials,Central,2024-07-04,Contract Terms,63204.4,29858.72,Medium,Valeria Moreno,Closed,332,2024-08-18,45,Pending,0.0
DIS-0288,INV-1288,VND-011,SteelBuild Co,Materials,Central,2024-10-23,Contract Terms,15064.73,1867.35,Low,Luis Herrera,Resolved,221,2024-12-15,53,Partial Credit,1134.85
DIS-0289,INV-1289,VND-011,SteelBuild Co,Materials,Central,2024-06-12,Price Discrepancy,52544.25,16221.75,Low,Marta Lopez,Resolved,354,2024-06-25,13,Full Credit,16221.75
